adcode,province,city,district,level,lng,lat
410000,河南省,,,province,113.753094,34.767052
410300,河南省,洛阳市,,city,112.453895,34.619702
410323,河南省,洛阳市,新安县,district,112.13246,34.728909
410324,河南省,洛阳市,栾川县,district,111.615729,33.7857
410329,河南省,洛阳市,伊川县,district,112.425751,34.421741
410303,河南省,洛阳市,西工区,district,112.428183,34.659959
410327,河南省,洛阳市,宜阳县,district,112.179187,34.51462
410328,河南省,洛阳市,洛宁县,district,111.652958,34.389371
410308,河南省,洛阳市,孟津区,district,112.44525,34.825587
410304,河南省,洛阳市,瀍河回族区,district,112.500131,34.679773
410326,河南省,洛阳市,汝阳县,district,112.473013,34.154283
410302,河南省,洛阳市,老城区,district,112.469071,34.683645
410305,河南省,洛阳市,涧西区,district,112.395766,34.658177
410311,河南省,洛阳市,洛龙区,district,112.463833,34.619711
410325,河南省,洛阳市,嵩县,district,112.085432,34.134639
410307,河南省,洛阳市,偃师区,district,112.789375,34.72715
411100,河南省,漯河市,,city,114.0166,33.58038
411122,河南省,漯河市,临颍县,district,113.931121,33.828096
411103,河南省,漯河市,郾城区,district,114.006596,33.587697
411102,河南省,漯河市,源汇区,district,113.984164,33.572319
411104,河南省,漯河市,召陵区,district,114.093879,33.586509
411121,河南省,漯河市,舞阳县,district,113.609327,33.438259
411300,河南省,南阳市,,city,112.584753,33.016102
411323,河南省,南阳市,西峡县,district,111.473644,33.307272
411303,河南省,南阳市,卧龙区,district,112.528524,32.990313
411321,河南省,南阳市,南召县,district,112.429277,33.489804
411328,河南省,南阳市,唐河县,district,112.80829,32.682464
411326,河南省,南阳市,淅川县,district,111.490902,33.137831
411330,河南省,南阳市,桐柏县,district,113.428702,32.379164
411327,河南省,南阳市,社旗县,district,112.948183,33.056229
411324,河南省,南阳市,镇平县,district,112.234571,33.033826
411322,河南省,南阳市,方城县,district,113.012849,33.255387
411329,河南省,南阳市,新野县,district,112.3601,32.521282
411381,河南省,南阳市,邓州市,district,112.08745,32.687732
411325,河南省,南阳市,内乡县,district,111.849354,33.044698
411302,河南省,南阳市,宛城区,district,112.539506,33.003564
411500,河南省,信阳市,,city,114.091058,32.148624
411502,河南省,信阳市,浉河区,district,114.05867,32.116885
411527,河南省,信阳市,淮滨县,district,115.420101,32.474772
411528,河南省,信阳市,息县,district,114.740392,32.34312
411525,河南省,信阳市,固始县,district,115.654066,32.169239
411526,河南省,信阳市,潢川县,district,115.051683,32.131426
411524,河南省,信阳市,商城县,district,115.406894,31.79832
411523,河南省,信阳市,新县,district,114.879309,31.643914
411522,河南省,信阳市,光山县,district,114.91934,32.010736
411521,河南省,信阳市,罗山县,district,114.512838,32.20436
411503,河南省,信阳市,平桥区,district,114.125595,32.101005
410900,河南省,濮阳市,,city,115.029246,35.762731
410926,河南省,濮阳市,范县,district,115.504081,35.85302
410927,河南省,濮阳市,台前县,district,115.871671,35.970286
410902,河南省,濮阳市,华龙区,district,115.074453,35.778289
410923,河南省,濮阳市,南乐县,district,115.205876,36.070219
410922,河南省,濮阳市,清丰县,district,115.104602,35.886694
410928,河南省,濮阳市,濮阳县,district,115.029165,35.713113
411200,河南省,三门峡市,,city,111.200482,34.773196
411221,河南省,三门峡市,渑池县,district,111.761753,34.767937
411202,河南省,三门峡市,湖滨区,district,111.188552,34.771296
411203,河南省,三门峡市,陕州区,district,111.103252,34.72066
411224,河南省,三门峡市,卢氏县,district,111.04522,34.051866
411282,河南省,三门峡市,灵宝市,district,110.894225,34.517734
411281,河南省,三门峡市,义马市,district,111.874726,34.747563
419001,河南省,济源市,,city,112.602347,35.069057
411000,河南省,许昌市,,city,113.852004,34.03732
411003,河南省,许昌市,建安区,district,113.822869,34.124729
411025,河南省,许昌市,襄城县,district,113.506904,33.851609
411082,河南省,许昌市,长葛市,district,113.813972,34.195458
411081,河南省,许昌市,禹州市,district,113.488715,34.142442
411024,河南省,许昌市,鄢陵县,district,114.177329,34.102985
411002,河南省,许昌市,魏都区,district,113.830826,34.047189
410800,河南省,焦作市,,city,113.241902,35.215726
410883,河南省,焦作市,孟州市,district,112.791372,34.907229
410825,河南省,焦作市,温县,district,113.08067,34.93961
410804,河南省,焦作市,马村区,district,113.32212,35.257084
410821,河南省,焦作市,修武县,district,113.447862,35.22286
410803,河南省,焦作市,中站区,district,113.182847,35.237227
410811,河南省,焦作市,山阳区,district,113.254581,35.215054
410802,河南省,焦作市,解放区,district,113.230555,35.240403
410823,河南省,焦作市,武陟县,district,113.401848,35.099458
410822,河南省,焦作市,博爱县,district,113.064701,35.170332
410882,河南省,焦作市,沁阳市,district,112.950873,35.087569
410200,河南省,开封市,,city,114.314278,34.798083
410223,河南省,开封市,尉氏县,district,114.19305,34.411437
410204,河南省,开封市,鼓楼区,district,114.348356,34.788473
410205,河南省,开封市,禹王台区,district,114.348105,34.777052
410203,河南省,开封市,顺河回族区,district,114.360824,34.795933
410202,河南省,开封市,龙亭区,district,114.355378,34.815515
410212,河南省,开封市,祥符区,district,114.441406,34.757546
410225,河南省,开封市,兰考县,district,114.818228,34.856372
410221,河南省,开封市,杞县,district,114.782629,34.549731
410222,河南省,开封市,通许县,district,114.47315,34.502053
411700,河南省,驻马店市,,city,114.021988,33.014038
411721,河南省,驻马店市,西平县,district,114.021492,33.387658
411722,河南省,驻马店市,上蔡县,district,114.264381,33.262439
411728,河南省,驻马店市,遂平县,district,114.013323,33.146316
411702,河南省,驻马店市,驿城区,district,113.993753,32.97455
411723,河南省,驻马店市,平舆县,district,114.618537,32.96344
411727,河南省,驻马店市,汝南县,district,114.362477,33.006808
411726,河南省,驻马店市,泌阳县,district,113.327144,32.723974
411725,河南省,驻马店市,确山县,district,114.016818,32.82134
411724,河南省,驻马店市,正阳县,district,114.392774,32.605697
411729,河南省,驻马店市,新蔡县,district,114.965519,32.74488
410500,河南省,安阳市,,city,114.39248,36.098779
410581,河南省,安阳市,林州市,district,113.819275,36.084127
410505,河南省,安阳市,殷都区,district,114.303454,36.109938
410503,河南省,安阳市,北关区,district,114.355742,36.10766
410522,河南省,安阳市,安阳县,district,114.462953,36.09211
410506,河南省,安阳市,龙安区,district,114.301037,36.076937
410523,河南省,安阳市,汤阴县,district,114.357686,35.925155
410526,河南省,安阳市,滑县,district,114.517977,35.576128
410527,河南省,安阳市,内黄县,district,114.90146,35.972016
410502,河南省,安阳市,文峰区,district,114.356967,36.090593
410600,河南省,鹤壁市,,city,114.297305,35.748329
410622,河南省,鹤壁市,淇县,district,114.208851,35.622571
410602,河南省,鹤壁市,鹤山区,district,114.163133,35.954647
410603,河南省,鹤壁市,山城区,district,114.184391,35.897862
410611,河南省,鹤壁市,淇滨区,district,114.298748,35.741763
410621,河南省,鹤壁市,浚县,district,114.550611,35.677249
410700,河南省,新乡市,,city,113.92679,35.303589
410704,河南省,新乡市,凤泉区,district,113.916183,35.384428
410711,河南省,新乡市,牧野区,district,113.908561,35.315614
410703,河南省,新乡市,卫滨区,district,113.865666,35.301796
410721,河南省,新乡市,新乡县,district,113.813884,35.170066
410702,河南省,新乡市,红旗区,district,113.983358,35.306182
410726,河南省,新乡市,延津县,district,114.205624,35.165876
410781,河南省,新乡市,卫辉市,district,114.064584,35.398357
410724,河南省,新乡市,获嘉县,district,113.657551,35.260153
410783,河南省,新乡市,长垣市,district,114.66885,35.201628
410725,河南省,新乡市,原阳县,district,113.939829,35.066873
410727,河南省,新乡市,封丘县,district,114.418907,35.041237
410782,河南省,新乡市,辉县市,district,113.80572,35.462964
410400,河南省,平顶山市,,city,113.192595,33.766554
410404,河南省,平顶山市,石龙区,district,112.898845,33.899247
410403,河南省,平顶山市,卫东区,district,113.335316,33.735388
410421,河南省,平顶山市,宝丰县,district,113.054538,33.869159
410402,河南省,平顶山市,新华区,district,113.296956,33.736486
410423,河南省,平顶山市,鲁山县,district,112.908052,33.738434
410411,河南省,平顶山市,湛河区,district,113.3208727,33.72568115
410482,河南省,平顶山市,汝州市,district,112.844696,34.16717
410481,河南省,平顶山市,舞钢市,district,113.516427,33.314147
410425,河南省,平顶山市,郏县,district,113.21261,33.971787
410422,河南省,平顶山市,叶县,district,113.357476,33.627437
410100,河南省,郑州市,,city,113.625351,34.746303
410185,河南省,郑州市,登封市,district,113.05056,34.454877
410122,河南省,郑州市,中牟县,district,113.975798,34.720535
410108,河南省,郑州市,惠济区,district,113.617055,34.867994
410106,河南省,郑州市,上街区,district,113.309185,34.803514
410182,河南省,郑州市,荥阳市,district,113.383385,34.7866
410183,河南省,郑州市,新密市,district,113.390932,34.540216
410104,河南省,郑州市,管城回族区,district,113.677446,34.754436
410181,河南省,郑州市,巩义市,district,113.022354,34.748207
410184,河南省,郑州市,新郑市,district,113.74024,34.396479
410105,河南省,郑州市,金水区,district,113.6603,34.800415
410103,河南省,郑州市,二七区,district,113.640177,34.724138
410102,河南省,郑州市,中原区,district,113.612966,34.74828
411600,河南省,周口市,,city,114.701222,33.634652
411603,河南省,周口市,淮阳区,district,114.852604,33.731543
411624,河南省,周口市,沈丘县,district,115.098541,33.409805
411625,河南省,周口市,郸城县,district,115.177141,33.64601
411627,河南省,周口市,太康县,district,114.837946,34.064513
411681,河南省,周口市,项城市,district,114.875128,33.465609
411622,河南省,周口市,西华县,district,114.529709,33.768277
411621,河南省,周口市,扶沟县,district,114.394666,34.060062
411602,河南省,周口市,川汇区,district,114.650551,33.647679
411623,河南省,周口市,商水县,district,114.608135,33.562072
411628,河南省,周口市,鹿邑县,district,115.484525,33.860698
411400,河南省,商丘市,,city,115.656358,34.415165
411421,河南省,商丘市,民权县,district,115.175019,34.648384
411426,河南省,商丘市,夏邑县,district,116.131422,34.237801
411425,河南省,商丘市,虞城县,district,115.828519,34.400868
411402,河南省,商丘市,梁园区,district,115.613609,34.444519
411403,河南省,商丘市,睢阳区,district,115.653258,34.389048
411481,河南省,商丘市,永城市,district,116.449864,33.929927
411423,河南省,商丘市,宁陵县,district,115.314221,34.461226
411422,河南省,商丘市,睢县,district,115.071957,34.446572
411424,河南省,商丘市,柘城县,district,115.305182,34.092015
440000,广东省,,,province,113.266887,23.133306
440500,广东省,汕头市,,city,116.681956,23.354152
440515,广东省,汕头市,澄海区,district,116.755945,23.466314
440523,广东省,汕头市,南澳县,district,117.023482,23.421658
440512,广东省,汕头市,濠江区,district,116.726701,23.286605
440513,广东省,汕头市,潮阳区,district,116.601677,23.264923
440514,广东省,汕头市,潮南区,district,116.439105,23.239196
440511,广东省,汕头市,金平区,district,116.70341,23.365716
440507,广东省,汕头市,龙湖区,district,116.716464,23.372211
440600,广东省,佛山市,,city,113.121586,23.021351
440608,广东省,佛山市,高明区,district,112.892573,22.900047
440607,广东省,佛山市,三水区,district,112.897271,23.156675
440605,广东省,佛山市,南海区,district,113.143246,23.028875
440604,广东省,佛山市,禅城区,district,113.122532,23.009475
440606,广东省,佛山市,顺德区,district,113.293197,22.805413
441200,广东省,肇庆市,,city,112.465245,23.047747
441226,广东省,肇庆市,德庆县,district,111.785544,23.145035
441225,广东省,肇庆市,封开县,district,111.512177,23.423928
441202,广东省,肇庆市,端州区,district,112.485577,23.051847
441204,广东省,肇庆市,高要区,district,112.458055,23.02474
441224,广东省,肇庆市,怀集县,district,112.166908,23.920806
441203,广东省,肇庆市,鼎湖区,district,112.56738,23.159062
441223,广东省,肇庆市,广宁县,district,112.440694,23.634808
441284,广东省,肇庆市,四会市,district,112.734309,23.326991
441300,广东省,惠州市,,city,114.415587,23.112368
441323,广东省,惠州市,惠东县,district,114.720136,22.984831
441303,广东省,惠州市,惠阳区,district,114.456107,22.789431
441324,广东省,惠州市,龙门县,district,114.254898,23.727873
441322,广东省,惠州市,博罗县,district,114.289602,23.172587
441302,广东省,惠州市,惠城区,district,114.382526,23.084657
440300,广东省,深圳市,,city,114.057939,22.543527
440306,广东省,深圳市,宝安区,district,113.883831,22.554986
440305,广东省,深圳市,南山区,district,113.930478,22.533191
440307,广东省,深圳市,龙岗区,district,114.246884,22.720889
440311,广东省,深圳市,光明区,district,113.94733,22.744136
440303,广东省,深圳市,罗湖区,district,114.131611,22.548309
440308,广东省,深圳市,盐田区,district,114.236739,22.557001
440309,广东省,深圳市,龙华区,district,114.04491,22.696735
440304,广东省,深圳市,福田区,district,114.055198,22.520922
440310,广东省,深圳市,坪山区,district,114.350844,22.708786
440400,广东省,珠海市,,city,113.576892,22.271644
440402,广东省,珠海市,香洲区,district,113.543372,22.265635
440403,广东省,珠海市,斗门区,district,113.296228,22.209134
440404,广东省,珠海市,金湾区,district,113.363224,22.146717
440499,广东省,珠海市,澳门大学横琴校区(由澳门实施管辖),district,113.548956,22.126197
440700,广东省,江门市,,city,113.081548,22.578948
440781,广东省,江门市,台山市,district,112.793812,22.251947
440704,广东省,江门市,江海区,district,113.111029,22.561301
440785,广东省,江门市,恩平市,district,112.304904,22.183743
440784,广东省,江门市,鹤山市,district,112.964203,22.765912
440703,广东省,江门市,蓬江区,district,113.078914,22.595285
440783,广东省,江门市,开平市,district,112.698113,22.377378
440705,广东省,江门市,新会区,district,113.034454,22.458519
441700,广东省,阳江市,,city,111.98343,21.856853
441721,广东省,阳江市,阳西县,district,111.617696,21.753935
441702,广东省,阳江市,江城区,district,111.95486,21.862451
441704,广东省,阳江市,阳东区,district,112.005586,21.869081
441781,广东省,阳江市,阳春市,district,111.791587,22.17041
440900,广东省,茂名市,,city,110.925533,21.662728
440982,广东省,茂名市,化州市,district,110.639581,21.664483
440904,广东省,茂名市,电白区,district,111.013368,21.513946
440983,广东省,茂名市,信宜市,district,110.946866,22.354887
440902,广东省,茂名市,茂南区,district,110.918566,21.641661
440981,广东省,茂名市,高州市,district,110.85402,21.919654
440800,广东省,湛江市,,city,110.357538,21.270108
440883,广东省,湛江市,吴川市,district,110.779361,21.440763
440811,广东省,湛江市,麻章区,district,110.333833,21.26437
440825,广东省,湛江市,徐闻县,district,110.17595,20.325969
440804,广东省,湛江市,坡头区,district,110.455192,21.244405
440803,广东省,湛江市,霞山区,district,110.397721,21.192463
440882,广东省,湛江市,雷州市,district,110.097011,20.914548
440823,广东省,湛江市,遂溪县,district,110.25043,21.378371
440881,广东省,湛江市,廉江市,district,110.286109,21.609988
440802,广东省,湛江市,赤坎区,district,110.365592,21.265948
441500,广东省,汕尾市,,city,115.375557,22.787204
441581,广东省,汕尾市,陆丰市,district,115.652142,22.91874
441521,广东省,汕尾市,海丰县,district,115.322974,22.967212
441502,广东省,汕尾市,城区,district,115.36522,22.779204
441523,广东省,汕尾市,陆河县,district,115.659978,23.301557
445100,广东省,潮州市,,city,116.621901,23.657662
445122,广东省,潮州市,饶平县,district,117.0045,23.663294
445103,广东省,潮州市,潮安区,district,116.676971,23.463598
445102,广东省,潮州市,湘桥区,district,116.628343,23.675104
445200,广东省,揭阳市,,city,116.372732,23.550968
445224,广东省,揭阳市,惠来县,district,116.295038,23.033889
445222,广东省,揭阳市,揭西县,district,115.841742,23.431314
445281,广东省,揭阳市,普宁市,district,116.165646,23.297742
445203,广东省,揭阳市,揭东区,district,116.411928,23.567252
445202,广东省,揭阳市,榕城区,district,116.36714,23.525918
440100,广东省,广州市,,city,113.264499,23.130061
440105,广东省,广州市,海珠区,district,113.317412,23.084003
440117,广东省,广州市,从化区,district,113.586329,23.54915
440114,广东省,广州市,花都区,district,113.220125,23.404326
440115,广东省,广州市,南沙区,district,113.525178,22.801435
440113,广东省,广州市,番禺区,district,113.383917,22.93756
440118,广东省,广州市,增城区,district,113.810734,23.261452
440106,广东省,广州市,天河区,district,113.361597,23.124817
440112,广东省,广州市,黄埔区,district,113.480613,23.181355
440104,广东省,广州市,越秀区,district,113.267065,23.128673
440103,广东省,广州市,荔湾区,district,113.218998,23.107123
440111,广东省,广州市,白云区,district,113.2732,23.157159
441400,广东省,梅州市,,city,116.122046,24.288832
441427,广东省,梅州市,蕉岭县,district,116.171477,24.658963
441481,广东省,梅州市,兴宁市,district,115.731133,24.137296
441424,广东省,梅州市,五华县,district,115.775751,23.932568
441422,广东省,梅州市,大埔县,district,116.694825,24.347037
441423,广东省,梅州市,丰顺县,district,116.181895,23.739364
441426,广东省,梅州市,平远县,district,115.891235,24.566928
441402,广东省,梅州市,梅江区,district,116.116686,24.31065
441403,广东省,梅州市,梅县区,district,116.081395,24.266191
441800,广东省,清远市,,city,113.056098,23.682064
